model,acc,time,batch_size,max_memory_usage,mean_power_consumption
4,0.8105263157894737,1.1499552726745603,32,2963.70703125,35.22484615384615
5,0.7473684210526316,1.249925136566162,1,2928.94140625,34.231181818181824
5,0.7473684210526316,0.9481601715087892,4,2921.94921875,31.5833
5,0.7473684210526316,0.8833127021789551,8,2897.25,30.3126
5,0.7473684210526316,0.8735470771789551,16,2919.6953125,32.299400000000006
5,0.7473684210526316,0.8512499332427979,32,2916.28125,31.458700000000004
6,0.7263157894736842,1.2621994018554688,1,2906.5,32.26318181818181
6,0.7263157894736842,0.9681930541992188,4,2927.16015625,28.2759
6,0.7263157894736842,0.926621437072754,8,2920.671875,29.96700000000001
6,0.7263157894736842,0.8753311634063721,16,2925.1484375,32.6751
6,0.7263157894736842,0.8648686408996582,32,2901.11328125,30.6084
7,0.7473684210526316,1.3506731986999512,1,2927.39453125,30.009727272727275
7,0.7473684210526316,0.9992773532867432,4,2909.84375,30.26972727272727
7,0.7473684210526316,0.9278554916381836,8,2926.3515625,29.5291
7,0.7473684210526316,0.9087457656860352,16,2938.96875,31.592300000000005
7,0.7473684210526316,0.8784489631652832,32,2917.5546875,29.8183
8,0.7789473684210526,1.5115141868591309,1,2916.8984375,32.87916666666666
8,0.7789473684210526,1.0348172187805176,4,2904.46875,30.87472727272728
8,0.7789473684210526,0.9517581462860109,8,2927.44921875,31.92318181818182
8,0.7789473684210526,0.9256415367126464,16,2911.265625,32.14363636363637
8,0.7789473684210526,0.8976559638977051,32,2947.6171875,32.083181818181814
9,0.8421052631578947,1.920249462127685,1,2910.96875,36.08015384615385
9,0.8421052631578947,1.2000272274017334,4,2947.125,35.52258333333334
9,0.8421052631578947,1.1671338081359863,8,2936.58984375,36.215
9,0.8421052631578947,1.0992941856384275,16,2912.92578125,35.33166666666667
9,0.8421052631578947,1.0546760559082031,32,2944.7109375,34.33881818181818
10,0.8631578947368421,4.723812103271484,1,2967.11328125,69.83440909090909
10,0.8631578947368421,4.575069904327393,4,2963.79296875,70.02985714285715
10,0.8631578947368421,4.461582183837891,8,2975.15234375,71.231
10,0.8631578947368421,4.4110634326934814,16,2983.87109375,71.05714285714286
10,0.8631578947368421,4.4372758865356445,32,2983.078125,74.00195238095239
11,0.7578947368421053,1.752641201019287,1,2923.39453125,40.490153846153845
11,0.7578947368421053,1.1717464923858645,4,2940.36328125,38.102583333333335
11,0.7578947368421053,1.130632400512695,8,2965.62890625,35.10341666666666
11,0.7578947368421053,1.0709717273712158,16,2928.68359375,32.42072727272728
11,0.7578947368421053,1.015965223312378,32,2988.98828125,35.862
12,0.7894736842105263,1.429216384887695,1,2927.71484375,36.31249999999999
